,unit
Nature Inputs: Other Bituminous Coal,TJ
Nature Inputs: Electricity by hydro,TJ
Nature Inputs: Electricity by wind,TJ
Nature Inputs: Energy inputs to cultiavted biomass,TJ
Emission Relevant Energy Carrier Aviation Gasoline,TJ
Emission Relevant Energy Carrier Biodiesels,TJ
Emission Relevant Energy Carrier Biogas,TJ
Emission Relevant Energy Carrier Biogasoline,TJ
Emission Relevant Energy Carrier Blast Furnace Gas,TJ
Emission Relevant Energy Carrier Coke Oven Coke,TJ
Emission Relevant Energy Carrier Crops nec,TJ
Emission Relevant Energy Carrier Ethane,TJ
Emission Relevant Energy Carrier Food products nec,TJ
Emission Relevant Energy Carrier Food waste for treatment: incineration,TJ
Emission Relevant Energy Carrier Gas/Diesel Oil,TJ
Emission Relevant Energy Carrier Heavy Fuel Oil,TJ
Emission Relevant Energy Carrier Intert/metal waste for treatment: incineration,TJ
Emission Relevant Energy Carrier Kerosene,TJ
Emission Relevant Energy Carrier Kerosene Type Jet Fuel,TJ
Emission Relevant Energy Carrier Liquefied Petroleum Gases (LPG),TJ
Emission Relevant Energy Carrier Lubricants,TJ
Emission Relevant Energy Carrier Manure (biogas treatment),TJ
Emission Relevant Energy Carrier Manure (conventional treatment),TJ
Emission Relevant Energy Carrier Motor Gasoline,TJ
"Emission Relevant Energy Carrier Natural gas and services related to natural gas extraction, excluding surveying",TJ
Emission Relevant Energy Carrier Oil/hazardous waste for treatment: incineration,TJ
Emission Relevant Energy Carrier Other Bituminous Coal,TJ
Emission Relevant Energy Carrier Other Liquid Biofuels,TJ
Emission Relevant Energy Carrier Paper waste for treatment: incineration,TJ
Emission Relevant Energy Carrier Petroleum Coke,TJ
Emission Relevant Energy Carrier Plastic waste for treatment: incineration,TJ
"Emission Relevant Energy Carrier Products of forestry, logging and related services (02)",TJ
Emission Relevant Energy Carrier Pulp,TJ
Emission Relevant Energy Carrier Refinery Gas,TJ
"Emission Relevant Energy Carrier Secondary paper for treatment, Re-processing of secondary paper into new pulp",TJ
Emission Relevant Energy Carrier Sugar,TJ
Emission Relevant Energy Carrier Textiles waste for treatment: incineration,TJ
"Emission Relevant Energy Carrier Wood material for treatment, Re-processing of secondary wood material into new wood material",TJ
Emission Relevant Energy Carrier Wood waste for treatment: incineration,TJ
Energy Carrier Supply Additives/Blending Components,TJ
Energy Carrier Supply Biogas,TJ
Energy Carrier Supply Blast Furnace Gas,TJ
Energy Carrier Supply Crops nec,TJ
"Energy Carrier Supply Crude petroleum and services related to crude oil extraction, excluding surveying",TJ
Energy Carrier Supply Electricity by biomass and waste,TJ
Energy Carrier Supply Electricity by coal,TJ
Energy Carrier Supply Electricity by gas,TJ
Energy Carrier Supply Electricity by hydro,TJ
Energy Carrier Supply Electricity by petroleum and other oil derivatives,TJ
Energy Carrier Supply Electricity by wind,TJ
Energy Carrier Supply Ethane,TJ
Energy Carrier Supply Food products nec,TJ
Energy Carrier Supply Food waste for treatment: incineration,TJ
Energy Carrier Supply Gas/Diesel Oil,TJ
Energy Carrier Supply Heavy Fuel Oil,TJ
Energy Carrier Supply Intert/metal waste for treatment: incineration,TJ
Energy Carrier Supply Kerosene,TJ
Energy Carrier Supply Kerosene Type Jet Fuel,TJ
Energy Carrier Supply Liquefied Petroleum Gases (LPG),TJ
Energy Carrier Supply Motor Gasoline,TJ
Energy Carrier Supply Naphtha,TJ
Energy Carrier Supply Natural Gas Liquids,TJ
"Energy Carrier Supply Natural gas and services related to natural gas extraction, excluding surveying",TJ
Energy Carrier Supply Oil/hazardous waste for treatment: incineration,TJ
Energy Carrier Supply Other Bituminous Coal,TJ
Energy Carrier Supply Other Liquid Biofuels,TJ
Energy Carrier Supply Paper waste for treatment: incineration,TJ
Energy Carrier Supply Petroleum Coke,TJ
Energy Carrier Supply Plastic waste for treatment: incineration,TJ
"Energy Carrier Supply Products of forestry, logging and related services (02)",TJ
Energy Carrier Supply Pulp,TJ
Energy Carrier Supply Refinery Feedstocks,TJ
Energy Carrier Supply Refinery Gas,TJ
Energy Carrier Supply Steam and hot water supply services,TJ
Energy Carrier Supply Sugar,TJ
Energy Carrier Supply Textiles waste for treatment: incineration,TJ
Energy Carrier Supply Wood waste for treatment: incineration,TJ
Energy Carrier Use Additives/Blending Components,TJ
Energy Carrier Use Aviation Gasoline,TJ
Energy Carrier Use Biodiesels,TJ
Energy Carrier Use Biogas,TJ
Energy Carrier Use Biogasoline,TJ
Energy Carrier Use Bitumen,TJ
Energy Carrier Use Blast Furnace Gas,TJ
Energy Carrier Use Coke Oven Coke,TJ
Energy Carrier Use Crops nec,TJ
"Energy Carrier Use Crude petroleum and services related to crude oil extraction, excluding surveying",TJ
Energy Carrier Use Electricity by biomass and waste,TJ
Energy Carrier Use Electricity by coal,TJ
Energy Carrier Use Electricity by gas,TJ
Energy Carrier Use Electricity by hydro,TJ
Energy Carrier Use Electricity by petroleum and other oil derivatives,TJ
Energy Carrier Use Electricity by wind,TJ
Energy Carrier Use Ethane,TJ
Energy Carrier Use Food products nec,TJ
Energy Carrier Use Food waste for treatment: incineration,TJ
Energy Carrier Use Gas/Diesel Oil,TJ
Energy Carrier Use Heavy Fuel Oil,TJ
Energy Carrier Use Intert/metal waste for treatment: incineration,TJ
Energy Carrier Use Kerosene,TJ
Energy Carrier Use Kerosene Type Jet Fuel,TJ
Energy Carrier Use Liquefied Petroleum Gases (LPG),TJ
Energy Carrier Use Lubricants,TJ
Energy Carrier Use Manure (biogas treatment),TJ
Energy Carrier Use Manure (conventional treatment),TJ
Energy Carrier Use Motor Gasoline,TJ
Energy Carrier Use Natural Gas Liquids,TJ
"Energy Carrier Use Natural gas and services related to natural gas extraction, excluding surveying",TJ
Energy Carrier Use Non-specified Petroleum Products,TJ
Energy Carrier Use Oil/hazardous waste for treatment: incineration,TJ
Energy Carrier Use Other Bituminous Coal,TJ
Energy Carrier Use Other Liquid Biofuels,TJ
Energy Carrier Use Paper waste for treatment: incineration,TJ
Energy Carrier Use Petroleum Coke,TJ
Energy Carrier Use Plastic waste for treatment: incineration,TJ
"Energy Carrier Use Products of forestry, logging and related services (02)",TJ
Energy Carrier Use Pulp,TJ
Energy Carrier Use Refinery Feedstocks,TJ
Energy Carrier Use Refinery Gas,TJ
"Energy Carrier Use Secondary paper for treatment, Re-processing of secondary paper into new pulp",TJ
Energy Carrier Use Steam and hot water supply services,TJ
Energy Carrier Use Sugar,TJ
Energy Carrier Use Textiles waste for treatment: incineration,TJ
Energy Carrier Use White Spirit & SBP,TJ
"Energy Carrier Use Wood material for treatment, Re-processing of secondary wood material into new wood material",TJ
Energy Carrier Use Wood waste for treatment: incineration,TJ
Energy Carrier Net Additives/Blending Components,TJ
Energy Carrier Net Aviation Gasoline,TJ
Energy Carrier Net Biodiesels,TJ
Energy Carrier Net Biogas,TJ
Energy Carrier Net Biogasoline,TJ
Energy Carrier Net Bitumen,TJ
Energy Carrier Net Blast Furnace Gas,TJ
Energy Carrier Net Coke Oven Coke,TJ
Energy Carrier Net Crops nec,TJ
"Energy Carrier Net Crude petroleum and services related to crude oil extraction, excluding surveying",TJ
Energy Carrier Net Electricity by biomass and waste,TJ
Energy Carrier Net Electricity by coal,TJ
Energy Carrier Net Electricity by gas,TJ
Energy Carrier Net Electricity by hydro,TJ
Energy Carrier Net Electricity by petroleum and other oil derivatives,TJ
Energy Carrier Net Electricity by wind,TJ
Energy Carrier Net Ethane,TJ
Energy Carrier Net Food products nec,TJ
Energy Carrier Net Food waste for treatment: incineration,TJ
Energy Carrier Net Gas/Diesel Oil,TJ
Energy Carrier Net Heavy Fuel Oil,TJ
Energy Carrier Net Intert/metal waste for treatment: incineration,TJ
Energy Carrier Net Kerosene,TJ
Energy Carrier Net Kerosene Type Jet Fuel,TJ
Energy Carrier Net Liquefied Petroleum Gases (LPG),TJ
Energy Carrier Net Lubricants,TJ
Energy Carrier Net Manure (biogas treatment),TJ
Energy Carrier Net Manure (conventional treatment),TJ
Energy Carrier Net Motor Gasoline,TJ
"Energy Carrier Net Natural gas and services related to natural gas extraction, excluding surveying",TJ
Energy Carrier Net Non-specified Petroleum Products,TJ
Energy Carrier Net Oil/hazardous waste for treatment: incineration,TJ
Energy Carrier Net Other Bituminous Coal,TJ
Energy Carrier Net Other Liquid Biofuels,TJ
Energy Carrier Net Paper waste for treatment: incineration,TJ
Energy Carrier Net Petroleum Coke,TJ
Energy Carrier Net Plastic waste for treatment: incineration,TJ
"Energy Carrier Net Products of forestry, logging and related services (02)",TJ
Energy Carrier Net Pulp,TJ
Energy Carrier Net Refinery Feedstocks,TJ
Energy Carrier Net Refinery Gas,TJ
"Energy Carrier Net Secondary paper for treatment, Re-processing of secondary paper into new pulp",TJ
Energy Carrier Net Steam and hot water supply services,TJ
Energy Carrier Net Sugar,TJ
Energy Carrier Net Textiles waste for treatment: incineration,TJ
Energy Carrier Net White Spirit & SBP,TJ
"Energy Carrier Net Wood material for treatment, Re-processing of secondary wood material into new wood material",TJ
Energy Carrier Net Wood waste for treatment: incineration,TJ
Energy Carrier Net NENE Bitumen,TJ
Energy Carrier Net NENE Ethane,TJ
Energy Carrier Net NENE Liquefied Petroleum Gases (LPG),TJ
Energy Carrier Net NENE Lubricants,TJ
"Energy Carrier Net NENE Natural gas and services related to natural gas extraction, excluding surveying",TJ
Energy Carrier Net NENE Non-specified Petroleum Products,TJ
Energy Carrier Net NENE Other Bituminous Coal,TJ
Energy Carrier Net NENE Petroleum Coke,TJ
Energy Carrier Net NENE White Spirit & SBP,TJ
Energy Carrier Net NTRA Biodiesels,TJ
Energy Carrier Net NTRA Biogas,TJ
Energy Carrier Net NTRA Blast Furnace Gas,TJ
Energy Carrier Net NTRA Coke Oven Coke,TJ
Energy Carrier Net NTRA Crops nec,TJ
Energy Carrier Net NTRA Electricity by biomass and waste,TJ
Energy Carrier Net NTRA Electricity by coal,TJ
Energy Carrier Net NTRA Electricity by gas,TJ
Energy Carrier Net NTRA Electricity by hydro,TJ
Energy Carrier Net NTRA Electricity by petroleum and other oil derivatives,TJ
Energy Carrier Net NTRA Electricity by wind,TJ
Energy Carrier Net NTRA Ethane,TJ
Energy Carrier Net NTRA Food products nec,TJ
Energy Carrier Net NTRA Food waste for treatment: incineration,TJ
Energy Carrier Net NTRA Gas/Diesel Oil,TJ
Energy Carrier Net NTRA Heavy Fuel Oil,TJ
Energy Carrier Net NTRA Intert/metal waste for treatment: incineration,TJ
Energy Carrier Net NTRA Kerosene,TJ
Energy Carrier Net NTRA Kerosene Type Jet Fuel,TJ
Energy Carrier Net NTRA Liquefied Petroleum Gases (LPG),TJ
Energy Carrier Net NTRA Lubricants,TJ
Energy Carrier Net NTRA Manure (biogas treatment),TJ
Energy Carrier Net NTRA Manure (conventional treatment),TJ
Energy Carrier Net NTRA Motor Gasoline,TJ
"Energy Carrier Net NTRA Natural gas and services related to natural gas extraction, excluding surveying",TJ
Energy Carrier Net NTRA Other Bituminous Coal,TJ
Energy Carrier Net NTRA Paper waste for treatment: incineration,TJ
Energy Carrier Net NTRA Petroleum Coke,TJ
Energy Carrier Net NTRA Plastic waste for treatment: incineration,TJ
"Energy Carrier Net NTRA Products of forestry, logging and related services (02)",TJ
Energy Carrier Net NTRA Pulp,TJ
"Energy Carrier Net NTRA Secondary paper for treatment, Re-processing of secondary paper into new pulp",TJ
Energy Carrier Net NTRA Steam and hot water supply services,TJ
Energy Carrier Net NTRA Sugar,TJ
Energy Carrier Net NTRA Textiles waste for treatment: incineration,TJ
"Energy Carrier Net NTRA Wood material for treatment, Re-processing of secondary wood material into new wood material",TJ
Energy Carrier Net NTRA Wood waste for treatment: incineration,TJ
Energy Carrier Net TAVI Aviation Gasoline,TJ
Energy Carrier Net TAVI Kerosene,TJ
Energy Carrier Net TAVI Kerosene Type Jet Fuel,TJ
Energy Carrier Net TMAR Biodiesels,TJ
Energy Carrier Net TMAR Gas/Diesel Oil,TJ
Energy Carrier Net TMAR Heavy Fuel Oil,TJ
Energy Carrier Net TMAR Kerosene,TJ
Energy Carrier Net TMAR Kerosene Type Jet Fuel,TJ
Energy Carrier Net TMAR Lubricants,TJ
Energy Carrier Net TMAR Motor Gasoline,TJ
"Energy Carrier Net TMAR Natural gas and services related to natural gas extraction, excluding surveying",TJ
Energy Carrier Net TRAI Electricity by biomass and waste,TJ
Energy Carrier Net TRAI Electricity by gas,TJ
Energy Carrier Net TRAI Electricity by hydro,TJ
Energy Carrier Net TRAI Electricity by wind,TJ
Energy Carrier Net TRAI Gas/Diesel Oil,TJ
Energy Carrier Net TROA Biodiesels,TJ
Energy Carrier Net TROA Biogas,TJ
Energy Carrier Net TROA Biogasoline,TJ
Energy Carrier Net TROA Electricity by biomass and waste,TJ
Energy Carrier Net TROA Electricity by gas,TJ
Energy Carrier Net TROA Gas/Diesel Oil,TJ
Energy Carrier Net TROA Liquefied Petroleum Gases (LPG),TJ
Energy Carrier Net TROA Motor Gasoline,TJ
"Energy Carrier Net TROA Natural gas and services related to natural gas extraction, excluding surveying",TJ
Energy Carrier Net TROA Other Liquid Biofuels,TJ
Energy Carrier Net LOSS Additives/Blending Components,TJ
Energy Carrier Net LOSS Biogas,TJ
Energy Carrier Net LOSS Blast Furnace Gas,TJ
Energy Carrier Net LOSS Coke Oven Coke,TJ
Energy Carrier Net LOSS Crops nec,TJ
"Energy Carrier Net LOSS Crude petroleum and services related to crude oil extraction, excluding surveying",TJ
Energy Carrier Net LOSS Electricity by biomass and waste,TJ
Energy Carrier Net LOSS Electricity by coal,TJ
Energy Carrier Net LOSS Electricity by gas,TJ
Energy Carrier Net LOSS Electricity by hydro,TJ
Energy Carrier Net LOSS Electricity by petroleum and other oil derivatives,TJ
Energy Carrier Net LOSS Electricity by wind,TJ
Energy Carrier Net LOSS Ethane,TJ
Energy Carrier Net LOSS Food products nec,TJ
Energy Carrier Net LOSS Food waste for treatment: incineration,TJ
Energy Carrier Net LOSS Gas/Diesel Oil,TJ
Energy Carrier Net LOSS Intert/metal waste for treatment: incineration,TJ
Energy Carrier Net LOSS Liquefied Petroleum Gases (LPG),TJ
Energy Carrier Net LOSS Manure (biogas treatment),TJ
Energy Carrier Net LOSS Manure (conventional treatment),TJ
"Energy Carrier Net LOSS Natural gas and services related to natural gas extraction, excluding surveying",TJ
Energy Carrier Net LOSS Oil/hazardous waste for treatment: incineration,TJ
Energy Carrier Net LOSS Other Bituminous Coal,TJ
Energy Carrier Net LOSS Other Liquid Biofuels,TJ
Energy Carrier Net LOSS Paper waste for treatment: incineration,TJ
Energy Carrier Net LOSS Plastic waste for treatment: incineration,TJ
"Energy Carrier Net LOSS Products of forestry, logging and related services (02)",TJ
Energy Carrier Net LOSS Pulp,TJ
Energy Carrier Net LOSS Refinery Feedstocks,TJ
Energy Carrier Net LOSS Refinery Gas,TJ
"Energy Carrier Net LOSS Secondary paper for treatment, Re-processing of secondary paper into new pulp",TJ
Energy Carrier Net LOSS Steam and hot water supply services,TJ
Energy Carrier Net LOSS Sugar,TJ
Energy Carrier Net LOSS Textiles waste for treatment: incineration,TJ
Energy Carrier Net LOSS White Spirit & SBP,TJ
"Energy Carrier Net LOSS Wood material for treatment, Re-processing of secondary wood material into new wood material",TJ
Energy Carrier Net LOSS Wood waste for treatment: incineration,TJ
